Job Title,Company Name,Location,Job Type
IT & AI Engineer,Confidential -,"New Cairo, Cairo, Egypt ",Full Time
AI Knowledge Systems & RAG Engineering Intern,Integrated Knowledge Dynamics -,"Nasr City, Cairo, Egypt ",Internship
Junior AI Engineer – Computer Vision & 3D Visual Perception,Geopro -,"Nasr City, Cairo, Egypt ",Full Time
Head of AI & Clinical Language Systems,Confidential -,"Maadi, Cairo, Egypt ",Full Time
AI Engineer,Electro Pi -,"Maadi, Cairo, Egypt ",Full Time
Prompt Engineer,AIContentfy -,"Maadi, Cairo, Egypt ",Full Time
Principal AI Architect (Optimization & Decision Intelligence),Makkook.AI -,"Cairo, Egypt ",Full Time
Data Engineer,Sana Commerce -,"Alexandria, Egypt ",Full Time
Software Engineer,Devency    -,"Nozha, Cairo, Egypt ",Full Time
Backend Engineer (Mid-Level),Seha Care -,"Sheraton, Cairo, Egypt ",Full Time
AI & Data,Global Brands -,"Cairo, Egypt ",Internship
Business Development Executive – AI Solutions,Barkotel -,"Sheraton, Cairo, Egypt ",Full Time
AI-Driven Growth Operator,Confidential -,"Red Sea, Egypt ",Full Time
Data Scientist – Computer Vision & Financial Intelligence,Erada -,"Maadi, Cairo, Egypt ",Full Time
"Automation workflow developer (n8n / Zapier / Make) - Remote, Full-Time",Confidential -,"Richmond, United States ",Full Time
Backend Engineer (Python / AI & ML Focus),Tutanic -,"Smouha, Alexandria, Egypt ",Full Time
Lead AI Inference Engineer (100% Remote),Tether.to -,"Dubai, United Arab Emirates ",Full Time
Senior Sales Engineer - Data & AI Security,Veeam Software -,"Riyadh, Saudi Arabia ",Full Time
AI Lead,Efada Technology -,"New Cairo, Cairo, Egypt ",Full Time
Applied AI Engineer - Dubai,Snorkel AI -,"Dubai, United Arab Emirates ",Full Time
AI Developer,Genesis AI -,"Cairo, Egypt ",Full Time
Software Engineer (Technical Content),"CC Global Group, LLC -","New Cairo, Cairo, Egypt ",Full Time
Lead Solutions Architect – Cloud Sovereignty & AI,Confidential Government -,"Riyadh, Saudi Arabia ",Full Time
"AI Conversational Designer (Bangkok-Based, Relocation Provided)",Agoda -,"Riyadh, Saudi Arabia ",Full Time
"AI Security Researcher (Bangkok Based, Relocation provided)",Agoda -,"Riyadh, Saudi Arabia ",Full Time
Project Manager - AI,Kyndryl -,"Dubai, United Arab Emirates ",Full Time
Technical Solutions Professional - Data & AI,Alnafitha International for Information Technology -,"Riyadh, Saudi Arabia ",Full Time
Associate AI Lab - Data Scientist,Mubadala -,"Dubai, United Arab Emirates ",Full Time
AI Project Manager,Energy Job Search -,"Riyadh, Saudi Arabia ",Full Time
UX/UI Designer 'AI-Powered' (On-site in Dubai),Puffy -,"Dubai, United Arab Emirates ",Full Time
Agentic AI Pro‑Code Developer,Sulava MEA -,"Dubai, United Arab Emirates ",Full Time
Software Engineer,Ayra AI -,"Cairo, Egypt ",Full Time
"Manager, Integrated data, AI & analytics platform",Ma'aden -,"Riyadh, Saudi Arabia ",Full Time
Industrial AI & Data Technical Lead,Capgemini Engineering -,"Riyadh, Saudi Arabia ",Full Time
Product Manager - AI,Canonical -,"Riyadh, Saudi Arabia ",Full Time
"Senior Software Engineer, LearnWith.AI (Remote) - $100,000/year USD",Crossover -,"Dubai, United Arab Emirates ",Full Time
React Native Engineer,ROVIN -,"Abu Dhabi, United Arab Emirates ",Full Time
Software Engineering Instructor,Pyramakerz -,"Cairo, Egypt ",Full Time
AI & Automation Specialist,Talent 360 ME -,"Riyadh, Saudi Arabia ",Full Time
"Head of CRM (Next-Gen, AI-Driven)",The Customization Group -,"Dubai, United Arab Emirates ",Full Time
Data & AI Analyst - Emiratization & UAE Talent Development | Strategy & Consulting,Accenture Middle East -,"Dubai, United Arab Emirates ",Full Time
Delivery Manager (Enterprise AI & ERP Solutions),Inception -,"Dubai, United Arab Emirates ",Full Time
Machine Learning Engineer,StoryGold -,"San Francisco, United States ",Full Time
Senior Full Stack Engineer,Confidential -,"Cairo, Egypt ",Full Time
Pre Sales Director (Agentic AI Platform),Robert Walters -,"Riyadh, Saudi Arabia ",Full Time
AI Engineer,SMETOOLS -,"New Cairo, Cairo, Egypt ",Full Time
Senior Automation & AI Manager,Careem -,"Dubai, United Arab Emirates ",Full Time
Full Stack Developer,EglobalSphere -,"Giza, Egypt ",Full Time
DevOps Engineer,ROVIN -,"Abu Dhabi, United Arab Emirates ",Full Time
BIM360 ACC Support Consultant,RISEUP (Endemag for Administrative Skills Development) -,"Maadi, Cairo, Egypt ",Full Time
Architect / Interior Designer,Artova -,"Sheikh Zayed, Giza, Egypt ",Full Time
"Full Stack Developer, LearnWith.AI (Remote) - $100,000/year USD",Crossover -,"Dubai, United Arab Emirates ",Full Time
"Software Engineer (Backend, Quality-Focused)",Confidential -,"Cairo, Egypt ",Full Time
Business AI Coordinator, Roaya -,"Maadi, Cairo, Egypt ",Full Time
Senior Data Engineer,Vertex Technologies  -,"Cairo, Egypt ",Full Time
Research Assistant - AI,"United Arab Emirates University, Department of Family Medicine -","Dubai, United Arab Emirates ",Full Time
Supply chain Continuous Improvement Engineer,Pharco Corporation -,"Ameria, Alexandria, Egypt ",Full Time
Junior Automation QA Engineer,Vertex Technologies  -,"Cairo, Egypt ",Full Time
Frontend Engineer (Vue.js),Tototheo Global -,"Cairo, Egypt ",Full Time
Senior Backend Engineer,Confidential -,"Maadi, Cairo, Egypt ",Full Time
Senior Backend / Architect Engineer (.NET / Azure),Confidential -,"Cairo, Egypt ",Full Time
Lead Data Scientist – National AI & Predictive Analytics,Confidential Government -,"Riyadh, Saudi Arabia ",Full Time
Engagement Manager – AI & Business Transformation,New Metrics -,"Riyadh, Saudi Arabia ",Full Time
AI Business Partner – Project Management Services (PMS),WSP in the Middle East -,"Riyadh, Saudi Arabia ",Full Time
Senior AI Product Manager,HudHud Maps -,"Riyadh, Saudi Arabia ",Full Time
HR Business Lead | AI & Talent Innovation Startup,Aikho -,"Dubai, United Arab Emirates ",Full Time
AI Specialist,Celine co. -,"10th of Ramadan City, Sharqia, Egypt ",Full Time
Technical Recruiter,Efada Technology -,"New Cairo, Cairo, Egypt ",Full Time
Procurement Engineer,Petro-Teq for industrial solution -,"Smouha, Alexandria, Egypt ",Full Time
"Artificial Intelligence Engineer, IgniteTech (Remote) - $100,000/year USD",Crossover -,"Dubai, United Arab Emirates ",Full Time
Research Scientist (Remote),Nexus Consulting -,"Dubai, United Arab Emirates ",Freelance / Project
Software Alliance Ecosystem Manager,Canonical -,"Makkah, Saudi Arabia ",Full Time
Enterprise Data Architect,Frameworks and Methodologies Businesses (FMB) -,"Riyadh, Saudi Arabia ",Full Time
Tech Lead,Cognizant -,"Dubai, United Arab Emirates ",Full Time
Software Engineer Manager - Python,Agency -,"Cairo, Egypt ",Full Time
Postdoctoral Researcher in Computer Vision and Geospatial Analytics,IBM -,"Riyadh, Saudi Arabia ",Full Time
Meet Your Next Hire at RISEUP SUMMIT 2026,WUZZUF -,"Cairo, Egypt ",Event
Female Breast Radiologist (American Board / UK CCT) - Dubai,Allocation Assist Middle East -,"Dubai, United Arab Emirates ",Full Time
Product Manager,Genesis AI -,"Cairo, Egypt ",Full Time
AI Product Owner.Injaz - Artificial Intelligence.MIT,Mashreq Corporate & Investment Banking Group -,"Dubai, United Arab Emirates ",Full Time
UI/UX Engineer,Daam  -,"Maadi, Cairo, Egypt ",Full Time
Full Stack Developer,InfoPeak Software   -,"Maadi, Cairo, Egypt ",Full Time
Junior Application Support Engineer,Lumin -,"6th of October, Giza, Egypt ",Full Time
B2B Marketing Specialist,Farinas Marketing Services   -,"Cairo, Egypt ",Full Time
Platform Engineer (Full-Stack / DevOps Hybrid),Tutanic -,"Smouha, Alexandria, Egypt ",Full Time
Backend Developer (Laravel),Bright Creations -,"Smart Village, Giza, Egypt ",Full Time
Frontend Engineer (React / TypeScript),Tutanic -,"Smouha, Alexandria, Egypt ",Full Time
Backend Engineer (Node.js / API & Microservices),Tutanic -,"Smouha, Alexandria, Egypt ",Full Time
PMC Process Engineer (Detailed Engineering & Execution),Perle -,"Riyadh, Saudi Arabia ",Full Time
PMC Civil & Structural Engineer (Detailed Engineering & Execution),Perle -,"Riyadh, Saudi Arabia ",Full Time
PMC Electrical Engineer (Detailed Engineering & Execution),Perle -,"Riyadh, Saudi Arabia ",Full Time
PMC Piping Engineer (Detailed Engineering & Execution),Perle -,"Riyadh, Saudi Arabia ",Full Time
PMC Instrumentation & Control Engineer (Detailed Engineering & Execution),Perle -,"Riyadh, Saudi Arabia ",Full Time
PMC Mechanical Engineer (Detailed Engineering & Execution),Perle -,"Riyadh, Saudi Arabia ",Full Time
Civil Engineering Technician (Remote),Nexus Consulting -,"Riyadh, Saudi Arabia ",Freelance / Project
Electrical Design Engineer (Remote),Nexus Consulting -,"Riyadh, Saudi Arabia ",Freelance / Project
